COUNTY,YEAR,TOTAL,WHITE,HISPANIC,ASIAN,PACIFIC_ISLANDER,BLACK,AMERICAN_INDIAN,MULTIRACE,WHITE_%,HISPANIC_%,ASIAN_%,PACIFIC_ISLANDER_%,BLACK_%,AMERICAN_INDIAN_%,MULTIRACE_%
Amador,2020,47593,36843,7122,461,31,1513,690,933,77.41264471666%,14.9643855188788%,0.96862984052277%,0.065135629189166%,3.17903893429706%,1.44979303679112%,1.96037232366104%
Amador,2021,48363,37313,7390,467,31,1518,694,950,77.1519550069268%,15.2802762442363%,0.96561420920952%,0.064098587763373%,3.1387631040258%,1.43498128734777%,1.96431156049046%
Amador,2022,49123,37773,7659,472,31,1523,698,967,76.8947336278322%,15.5914744620646%,0.96085336807605%,0.063106894937198%,3.10038067707591%,1.42092298923111%,1.96852798078293%
Amador,2023,49868,38218,7929,478,31,1527,701,984,76.6383251784712%,15.8999759364723%,0.95853052057432%,0.062164113259004%,3.06208390149996%,1.40571107724392%,1.97320927247935%
Amador,2024,50609,38658,8201,483,31,1531,705,1000,76.385623110514%,16.2046276354008%,0.95437570392618%,0.061253927167105%,3.0251536288012%,1.39303285976803%,1.97593313442273%
Amador,2025,51331,39081,8468,488,31,1535,710,1018,76.1352788763126%,16.4968537530927%,0.95069256394771%,0.060392355496678%,2.99039566733553%,1.38317975492393%,1.98320702889092%
Amador,2026,52044,39493,8737,495,31,1539,714,1035,75.8838674967335%,16.7877180846976%,0.95111828452848%,0.059564983475521%,2.95711321189763%,1.37191607101683%,1.98870186765045%
Amador,2027,52738,39884,9011,500,30,1543,718,1052,75.6266828472828%,17.0863513974743%,0.94808297622208%,0.056884978573325%,2.92578406462134%,1.36144715385491%,1.99476658197125%
Amador,2028,53426,40262,9288,506,29,1546,723,1072,75.3603114588403%,17.384793920563%,0.94710440609441%,0.054280687305806%,2.89372215775091%,1.35327368696889%,2.0065136824767%
Amador,2029,54110,40632,9569,514,28,1550,726,1091,75.091480317871%,17.6843467011643%,0.94991683607466%,0.051746442432083%,2.86453520606173%,1.34171132877472%,2.01626316762151%
Amador,2030,54788,40991,9856,522,28,1553,728,1110,74.8174782799153%,17.9893407315471%,0.95276337884208%,0.051106081623713%,2.83456231291524%,1.32875812221654%,2.02599109294006%
Amador,2031,55465,41342,10147,532,28,1556,731,1129,74.5370954656089%,18.2944199044442%,0.95916343640133%,0.050482286126386%,2.80537275759488%,1.31794825565672%,2.03551789416749%
Amador,2032,56140,41686,10445,542,28,1558,735,1146,74.2536515853224%,18.6052725329533%,0.96544353402209%,0.049875311720698%,2.77520484503028%,1.30922693266833%,2.04132525828286%
Amador,2033,56810,42023,10745,552,28,1561,738,1163,73.9711318429854%,18.9139236049991%,0.97165991902834%,0.049287097342017%,2.74775567681746%,1.29906706565745%,2.04717479317022%
Amador,2034,57488,42359,11051,564,28,1565,741,1180,73.683203451155%,19.2231422209852%,0.98107431116059%,0.048705816866129%,2.72230726412469%,1.2889646534929%,2.05260228221542%
Amador,2035,58157,42684,11361,576,27,1569,744,1196,73.3944323125333%,19.5350516704782%,0.99042247708788%,0.046426053613494%,2.69786955998418%,1.27929569957185%,2.05650222673109%
Amador,2036,58832,43007,11677,589,27,1573,747,1212,73.1013734022301%,19.848041881969%,1.00115583355997%,0.045893391351645%,2.67371498504215%,1.26971716072886%,2.0601033451183%
Amador,2037,59512,43330,11997,602,27,1577,749,1230,72.8088452749026%,20.1589595375723%,1.01156069364162%,0.04536900120984%,2.64988573733029%,1.25856970022853%,2.06681005511493%
Amador,2038,60187,43647,12319,614,27,1581,751,1248,72.5189825045276%,20.4678751225348%,1.02015385382225%,0.044860185754399%,2.62681309917424%,1.2477777593168%,2.07353747486999%
Amador,2039,60863,43959,12648,628,27,1584,751,1266,72.226147248739%,20.7810985327703%,1.03182557547278%,0.044361927607906%,2.60256641966384%,1.23391880124213%,2.08008149450405%
